Income,Limit,Rating,Cards,Age,Education,Own,Student,Married,Region,Balance,Balance_level
14.891,3606,283,2,34,11,0,0,1,South,333,Low
106.025,6645,483,3,82,15,1,1,1,West,903,High
104.593,7075,514,4,71,11,0,0,0,West,580,High
148.924,9504,681,3,36,11,1,0,0,West,964,High
55.882,4897,357,2,68,16,0,0,1,South,331,Low
80.18,8047,569,4,77,10,0,0,0,South,1151,High
20.996,3388,259,2,37,12,1,0,0,East,203,Low
71.408,7114,512,2,87,9,0,0,0,West,872,High
15.125,3300,266,5,66,13,1,0,0,South,279,Low
71.061,6819,491,3,41,19,1,1,1,East,1350,High
63.095,8117,589,4,30,14,0,0,1,South,1407,High
15.045,1311,138,3,64,16,0,0,0,South,0,Low
80.616,5308,394,1,57,7,1,0,1,West,204,Low
43.682,6922,511,1,49,9,0,0,1,South,1081,High
19.144,3291,269,2,75,13,1,0,0,East,148,Low
20.089,2525,200,3,57,15,1,0,1,East,0,Low
53.598,3714,286,3,73,17,1,0,1,East,0,Low
36.496,4378,339,3,69,15,1,,1,West,368,Low
49.57,6384,448,1,28,9,1,0,1,West,891,High
42.079,6626,479,2,44,9,0,0,0,West,1048,High
17.7,2860,235,4,63,16,1,0,0,West,89,Low
37.348,6378,458,1,72,17,1,0,0,South,968,High
20.103,2631,213,3,61,10,0,0,1,East,0,Low
64.027,5179,398,5,48,8,0,0,1,East,411,Low
10.742,1757,156,3,57,15,1,0,0,South,0,Low
14.09,4323,326,5,25,16,1,0,1,East,671,High
42.471,3625,289,6,44,12,1,1,0,South,654,High
32.793,4534,333,2,44,16,0,0,0,East,467,High
186.634,13414,949,2,41,14,1,0,1,East,1809,High
26.813,5611,411,4,55,16,1,0,0,South,915,High
34.142,5666,413,4,47,5,1,0,1,South,863,High
28.941,2733,210,5,43,16,0,0,1,West,0,Low
134.181,7838,563,2,48,13,1,0,0,South,526,High
31.367,1829,162,4,30,10,0,0,1,South,0,Low
20.15,2646,199,2,25,14,1,0,1,West,0,Low
23.35,2558,220,3,49,12,1,1,0,South,419,Low
62.413,6457,455,2,71,11,1,0,1,South,762,High
30.007,6481,462,2,69,9,1,0,1,South,1093,High
11.795,3899,300,4,25,10,1,0,0,South,531,High
13.647,3461,264,4,47,14,0,0,1,South,344,Low
34.95,3327,253,3,54,14,1,0,0,East,50,Low
113.659,7659,538,2,66,15,0,1,1,East,1155,High
44.158,4763,351,2,66,13,1,0,1,West,385,Low
36.929,6257,445,1,24,14,1,0,1,West,976,High
31.861,6375,469,3,25,16,1,0,1,South,1120,High
